ilce,tur,ad,dosya,longitude,latitude
BERGAMA,MAHALLE,TURABEY,BERGAMA_TURABEY_mahalle_siniri.kml,27.183282249863485,39.11822944004508
BERGAMA,MAHALLE,TİYELTİ,BERGAMA_TİYELTİ_mahalle_siniri.kml,27.13935593808836,39.12706475669997
BERGAMA,MAHALLE,ULUCAMİ,BERGAMA_ULUCAMİ_mahalle_siniri.kml,27.180732717990015,39.13875916983157
BERGAMA,MAHALLE,YALNIZDAM,BERGAMA_YALNIZDAM_mahalle_siniri.kml,27.437351971958904,39.27954765928565
BERGAMA,MAHALLE,YALNIZEV,BERGAMA_YALNIZEV_mahalle_siniri.kml,27.114504822188803,39.106116705802506
BERGAMA,MAHALLE,YENİKÖY,BERGAMA_YENİKÖY_mahalle_siniri.kml,27.022089010862732,39.005211373702785
BERGAMA,MAHALLE,YENİLER,BERGAMA_YENİLER_mahalle_siniri.kml,27.36200557653927,39.28666177295835
BERGAMA,MAHALLE,YERLİTAHTACI,BERGAMA_YERLİTAHTACI_mahalle_siniri.kml,27.12084368363718,39.16130197051276
BERGAMA,MAHALLE,YORTANLI,BERGAMA_YORTANLI_mahalle_siniri.kml,27.272462748276187,39.250915075451466
BERGAMA,MAHALLE,YUKARIADA,BERGAMA_YUKARIADA_mahalle_siniri.kml,27.34267260533429,39.373927991042265
BERGAMA,MAHALLE,YUKARIBEY,BERGAMA_YUKARIBEY_mahalle_siniri.kml,27.088190315227102,39.240694878609794
